,curbramps,marked,st_pkey,street_name,geometry
207,1,0,12488,RAYE ST,"LINESTRING (-122.3554679387522 47.64329842656684, -122.3554660872927 47.6431859844324)"
208,0,0,1057,1ST AVE N,"LINESTRING (-122.3554562852669 47.64463046436127, -122.355622666815 47.64463097477638)"
209,0,0,1058,1ST AVE N,"LINESTRING (-122.3556220922873 47.64474317284208, -122.3554557091436 47.64474290406076)"
210,0,0,11947,NEWELL ST,"LINESTRING (-122.3554557091436 47.64474290406076, -122.3554562852669 47.64463046436127)"
211,0,0,1058,1ST AVE N,"LINESTRING (-122.3554551083607 47.64491266919799, -122.3556214920435 47.6449129379827)"
212,0,0,1059,1ST AVE N,"LINESTRING (-122.3556208367916 47.64502538071569, -122.3554544548058 47.64502476078495)"
213,0,0,8849,ARMOUR ST,"LINESTRING (-122.3556214920435 47.6449129379827, -122.3556208367916 47.64502538071569)"
214,0,0,1059,1ST AVE N,"LINESTRING (-122.3554500646498 47.64556274012082, -122.3556164483439 47.64556336006589)"
215,0,0,1060,1ST AVE N,"LINESTRING (-122.3556157681137 47.64567548293277, -122.3554493821475 47.64567517960601)"
216,0,0,10584,FULTON ST,"LINESTRING (-122.3554493821475 47.64567517960601, -122.3554500646498 47.64556274012082)"
217,0,0,1060,1ST AVE N,"LINESTRING (-122.3554490328735 47.64576264109456, -122.3556154191049 47.64576294441219)"
218,0,0,1061,1ST AVE N,"LINESTRING (-122.3556150677116 47.64587538616617, -122.3554486807164 47.64587521516856)"
219,0,0,10583,FULTON ST,"LINESTRING (-122.3556154191049 47.64576294441219, -122.3556150677116 47.64587538616617)"
220,0,0,1061,1ST AVE N,"LINESTRING (-122.3554465308964 47.64682976624093, -122.3556129361796 47.64682316603291)"
221,0,0,10456,FLORENTIA ST,"LINESTRING (-122.3556129361796 47.64682316603291, -122.3556118663316 47.64693962362009)"
222,0,0,10457,FLORENTIA ST,"LINESTRING (-122.3554470699374 47.64693946296455, -122.3554465308964 47.64682976624093)"
223,0,0,1062,1ST AVE NE,"LINESTRING (-122.3279652655059 47.6537014681763, -122.3278182532465 47.65388654307679)"
224,1,0,16141,N PACIFIC ST,"LINESTRING (-122.3278190619389 47.65363544585257, -122.3279652655059 47.6537014681763)"
225,1,0,18038,NE PACIFIC ST,"LINESTRING (-122.3278182532465 47.65388654307679, -122.3276466662996 47.65379677614041)"
226,0,0,1062,1ST AVE NE,"LINESTRING (-122.3277956657889 47.65548773890785, -122.3279613404082 47.65548887519059)"
227,1,0,1063,1ST AVE NE,"LINESTRING (-122.3279603145551 47.65561228362719, -122.327793905392 47.65561114217895)"
